# schema=qrd_rumble_csv_v1
# game_name=ItchyAndScratchyGame
# match_names=itchyandscratchygame|itchyandscratchygamesnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
game_over_gameover_052a,0x7E052A,1,int,became_nonzero,,both,1.000,heartbeat,0,1000,400,100,
damage_taken_health_022b,0x7E022B,1,uint,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_022b,0x7E022B,1,uint,became_zero,,both,1.000,heartbeat,0,600,400,90,
life_lost_lives_023a,0x7E023A,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_023a,0x7E023A,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score1_023b,0x7E023B,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score2_023c,0x7E023C,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
