# schema=qrd_rumble_csv_v1
# game_name=Art of Fighting (USA, Europe) (Action Replay) (diff)
# match_names=artoffighting|artoffightingsnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
enemy_defeated_enemy_health_9441,0x7F9441,2,uint,prev_gt_curr,,right,0.450,normal,0,35,75,30,
damage_taken_health_9307,0x7F9307,2,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_9307,0x7F9307,2,uint,became_zero,,both,1.000,normal,0,600,400,90,
score_score_9549,0x7F9549,2,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
