# schema=qrd_rumble_csv_v1
# game_name=Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA, Europe) (Game Genie) (diff)
# match_names=donkeykongcountry3dixiekongsdoubletrouble|donkeykongcountry3dixiekongsdoubletroublesnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
life_lost_lives_05d5,0x7E05D5,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_05d5,0x7E05D5,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score_05d3,0x7E05D3,1,bcd,prev_lt_curr,,right,0.350,burst,0,70,15,10,
