# schema=qrd_rumble_csv_v1
# game_name=Teenage Mutant Ninja Turtles IV - Turtles in Time (USA, Australia) (Action Replay)
# match_names=teenagemutantninjaturtlesivturtlesintime|teenagemutantninjaturtlesivturtlesintimesnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
life_lost_lives_1aa0,0x7E1AA0,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_1aa0,0x7E1AA0,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_1a9c,0x7E1A9C,4,bcd,prev_lt_curr,,right,0.350,normal,0,60,50,10,
