# schema=qrd_rumble_csv_v1
# game_name=Chuck Rock (USA, Europe) (Action Replay)
# match_names=chuckrock|chuckrocksnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_damage_0215,0x7E0215,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_damage_0215,0x7E0215,1,uint,became_zero,,both,1.000,normal,0,600,100,90,
life_lost_lives_02fd,0x7E02FD,1,int,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_02fd,0x7E02FD,1,int,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_0294,0x7E0294,4,bcd,prev_lt_curr,,right,0.350,normal,0,60,50,10,
