# schema=qrd_rumble_csv_v1
# game_name=Tom and Jerry (World) (Action Replay)
# match_names=tomandjerry|tomandjerrysnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
pickup_coins_1558,0x7E1558,1,uint,changed,,right,0.250,normal,0,18,35,20,
damage_taken_health_1242,0x7E1242,1,int,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_1242,0x7E1242,1,int,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_14fc,0x7E14FC,1,int,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_14fc,0x7E14FC,1,int,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_0ae8,0x7E0AE8,2,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
