# schema=qrd_rumble_csv_v1
# game_name=Porky Pig's Haunted Holiday (USA, Europe) (Action Replay)
# match_names=porkypigshauntedholiday|porkypigshauntedholidaysnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
game_over_gameover_0e96,0x7E0E96,1,int,became_nonzero,,both,1.000,normal,0,1000,400,100,
damage_taken_health_0eaa,0x7E0EAA,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_0eaa,0x7E0EAA,1,uint,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_0e9e,0x7E0E9E,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_0e9e,0x7E0E9E,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_0e9a,0x7E0E9A,4,bcd,prev_lt_curr,,right,0.350,normal,0,60,50,10,
