system,display_name,recommended_primary_source,stable_field_count,openai_field_count,openai_trigger_count,libretro_raw_entry_count,libretro_distinct_address_count,action_replay_cheat_count
gb,"Battleship (USA, Europe) (Xploder)",,0,0,0,0,0,0
gb,Battletoads (World) (Game Genie),,0,0,0,0,0,0
gb,"Battletoads in Ragnarok's World (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,"Battletoads-Double Dragon (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Beavis and Butt-Head (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Beethoven (Europe) (SGB Enhanced),,0,0,0,0,0,0
gb,Beethoven's 2nd (U) [S][BF],,0,0,0,0,0,0
gb,Beetlejuice (USA) (Game Genie),libretro_database,0,0,0,1,1,0
gb,"Best of the Best - Championship Karate (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan),,0,0,0,0,0,0
gb,"Bill _ Ted's Excellent Game Boy Adventure (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Bill _ Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)",,0,0,0,0,0,0
gb,Bill And Teds Excellent GameBoy Adventure,,0,0,0,0,0,0
gb,Bill Elliott's NASCAR Fast Tracks (USA) (Game Genie),,0,0,0,0,0,0
gb,Bionic Battler (USA) (GameShark),,0,0,0,0,0,0
gb,Bionic Commando (World) (Game Genie),,0,0,0,0,0,0
gb,Bishoujo Senshi Sailor Moon (Japan),,0,0,0,0,0,0
gb,Bishoujo Senshi Sailor Moon R (Japan),,0,0,0,0,0,0
gb,Black Bass - Lure Fishing (USA) (Game Genie),,0,0,0,0,0,0
gb,"Blades of Steel (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Blaster Master Boy (USA) (GameShark),,0,0,0,0,0,0
gb,Block Kuzushi GB (Japan) (SGB Enhanced),libretro_database,0,0,0,1,1,0
gb,Blodia (Japan),,0,0,0,0,0,0
gb,"Blues Brothers, The (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Blues Brothers, The - Jukebox Adventure (Europe) (Xploder)",,0,0,0,0,0,0
gb,Bo Jackson - Two Games in One (USA),,0,0,0,0,0,0
gb,Boggle Plus (USA) (Game Genie),,0,0,0,0,0,0
gb,Bomb Jack (Europe),,0,0,0,0,0,0
gb,Bomber Boy (Japan) (GameShark),,0,0,0,0,0,0
gb,Bomber King - Scenario 2 (Japan) (GameShark),,0,0,0,0,0,0
gb,Bomber Man Collection (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Bomber Man GB 3 (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,"Bomberman GB (USA, Europe) (GameShark) (diff)",,0,0,0,0,0,0
gb,Bonk's Adventure (USA) (Game Genie),,0,0,0,0,0,0
gb,Bonk's Revenge (USA) (SGB Enhanced),,0,0,0,0,0,0
gb,Booby Boys (Japan),,0,0,0,0,0,0
gb,Boomer's Adventure in ASMIK World (USA) (GameShark),libretro_database,0,0,0,2,2,0
gb,"Boulder Dash (Europe, Japan) (Xploder)",,0,0,0,0,0,0
gb,Boxing (Japan),,0,0,0,0,0,0
gb,"Boxxle (USA, Europe) (Rev 1)",libretro_database,0,0,0,2,2,0
gb,"Boxxle II (USA, Europe)",,0,0,0,0,0,0
gb,Brain Bender (USA),,0,0,0,0,0,0
gb,Brain Drain (USA) (SGB Enhanced),,0,0,0,0,0,0
gb,"Bram Stoker's Dracula (USA, Europe) (GameShark)",libretro_database,0,0,0,3,3,0
gb,BreakThru! (USA) (GameShark),,0,0,0,0,0,0
gb,Bubble Bobble (World) (Game Genie),,0,0,0,0,0,0
gb,Bubble Bobble Junior (Japan),,0,0,0,0,0,0
gb,"Bubble Bobble Part 2 (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Bubble Ghost (USA, Europe)",,0,0,0,0,0,0
gb,"Bubsy II (USA, Europe) (Game Genie)",libretro_database,0,0,0,1,1,0
gb,"Bugs Bunny Crazy Castle 2, The (USA) (Game Genie)",libretro_database,0,0,0,2,2,0
gb,"Bugs Bunny Crazy Castle, The (USA, Europe) (GameShark) (diff)",,0,0,0,0,0,0
gb,"Burai Fighter (USA, Europe) (GameShark)",libretro_database,0,0,0,1,1,0
gb,"Burai Fighter Deluxe (USA, Europe) (Xploder)",libretro_database,0,0,0,3,3,0
gb,BurgerTime Deluxe (World) (Game Genie),,0,0,0,0,0,0
gb,Burning Paper (Japan) (Game Genie),libretro_database,0,0,0,1,1,0
gb,"Bust-A-Move 2 - Arcade Edition (USA, Europe)",libretro_database,0,0,0,1,1,0
gb,Bust-A-Move 3 DX (Europe),libretro_database,0,0,0,1,1,0
gb,Bust-A-Move 4,,0,0,0,0,0,0
gb,Buster Bros. (USA),,0,0,0,0,0,0
gb,Caesars Palace (World) (GameShark),libretro_database,0,0,0,4,4,0
gb,Captain America and the Avengers (USA) (Game Genie),,0,0,0,0,0,0
gb,Captain Knick-Knack (Sachen) [!],,0,0,0,0,0,0
gb,Captain Tsubasa VS (Japan),libretro_database,0,0,0,4,4,0
gb,Card Game (Japan),,0,0,0,0,0,0
gb,"Casper (USA, Europe) (Xploder)",,0,0,0,0,0,0
gb,"Castelian (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Castle Quest (Europe),,0,0,0,0,0,0
gb,"Castlevania - The Adventure (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Castlevania II - Belmont's Revenge (USA, Europe) (Game Genie)",libretro_database,0,0,0,5,4,0
gb,"Castlevania Legends (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,Catrap (USA),,0,0,0,0,0,0
gb,Cave Noire (Japan),,0,0,0,0,0,0
gb,"Centipede (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Chachamaru Panic (Japan),,0,0,0,0,0,0
gb,Chalvo 55 - Super Puzzle Action (J) [T+Eng1.0_lba],,0,0,0,0,0,0
gb,Chalvo 55 - Super Puzzle Action (Japan),,0,0,0,0,0,0
gb,"Chase H.Q. (USA, Europe) (GameShark)",libretro_database,0,0,0,2,2,0
gb,"Chessmaster, The (USA) (Rev 1)",,0,0,0,0,0,0
gb,Chiki Chiki Tengoku (Japan),,0,0,0,0,0,0
gb,Chikyuu Kaihou Gun ZAS (Japan) (En),,0,0,0,0,0,0
gb,Choplifter II - Rescue _ Survive (USA),,0,0,0,0,0,0
gb,Choplifter III (Europe) (GameShark),,0,0,0,0,0,0
gb,"Chuck Rock (USA, Europe)",,0,0,0,0,0,0
gb,"Cliffhanger (USA, Europe)",libretro_database,0,0,0,2,2,0
gb,College Slam (USA),,0,0,0,0,0,0
gb,Contra (Japan),,0,0,0,0,0,0
gb,Contra - The Alien Wars (USA) (SGB Enhanced),libretro_database,0,0,0,6,5,0
gb,Contra Spirits (Japan) (SGB Enhanced),libretro_database,0,0,0,2,2,0
gb,Cool Ball (USA),,0,0,0,0,0,0
gb,Cool Spot (USA),libretro_database,0,0,0,1,1,0
gb,"Cool World (USA, Europe)",,0,0,0,0,0,0
gb,Cosmo Tank (USA),,0,0,0,0,0,0
gb,Crayon Shin-chan - Ora to Shiro wa Otomodachi Da yo (Japan),,0,0,0,0,0,0
gb,Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo (Japan),,0,0,0,0,0,0
gb,Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Crazy Burger (Sachen) [!],,0,0,0,0,0,0
gb,Crystal Quest (USA) (GameShark),,0,0,0,0,0,0
gb,"CutThroat Island (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Cyraid (USA) (Game Genie),,0,0,0,0,0,0
gb,Daedalian Opus (USA) (Game Genie),,0,0,0,0,0,0
gb,"Daffy Duck (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Daiku no Gen-san - Robot Teikoku no Yabou (Japan),,0,0,0,0,0,0
gb,Dan Laser (Sachen) [!],,0,0,0,0,0,0
gb,"Darkman (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Darkwing Duck (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,David Crane's The Rescue of Princess Blobette (USA),libretro_database,0,0,0,1,1,0
