# schema=qrd_rumble_csv_v1
# game_name=Cool Spot (World) (Action Replay)
# match_names=coolspot|coolspotgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
game_over_gameover_fff5b1,0xFFF5B1,1,uint,became_nonzero,,both,1.000,normal,0,1000,400,100,
damage_taken_health_fff57c,0xFFF57C,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_fff57c,0xFFF57C,1,uint,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_ff078c,0xFF078C,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_ff078c,0xFF078C,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_fff4d8,0xFFF4D8,2,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
