# schema=qrd_rumble_csv_v1
# game_name=Street Smart (USA, Japan) (Action Replay)
# match_names=streetsmart|streetsmartgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
life_lost_lives_ff904b,0xFF904B,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_ff904b,0xFF904B,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_ff9050,0xFF9050,4,bcd,prev_lt_curr,,right,0.350,normal,0,60,50,10,
