# schema=qrd_rumble_csv_v1
# game_name=Shadow of the Beast (USA, Europe) (Action Replay)
# match_names=shadowofthebeast|shadowofthebeastgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_ff1a17,0xFF1A17,1,uint,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_ff1a17,0xFF1A17,1,uint,became_zero,,both,1.000,heartbeat,0,600,400,90,
score_score_ff1a0c,0xFF1A0C,6,nibble,prev_lt_curr,,right,0.350,burst,0,70,15,10,
