# schema=qrd_rumble_csv_v1
# game_name=Mortal Kombat II (World) (Action Replay)
# match_names=mortalkombatii|mortalkombatiigenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
enemy_defeated_enemy_health_ffb713,0xFFB713,1,uint,prev_gt_curr,,right,0.55,burst,0,80,50,30,
damage_taken_health_ffb623,0xFFB623,1,uint,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_ffb623,0xFFB623,1,uint,became_zero,,both,1.000,heartbeat,0,600,400,90,
