# schema=qrd_rumble_csv_v1
# game_name=Soldiers of Fortune (USA) (Action Replay)
# match_names=soldiersoffortune|soldiersoffortunegenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
life_lost_lives_ff004d,0xFF004D,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_ff004d,0xFF004D,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_ff0045,0xFF0045,3,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
