# schema=qrd_rumble_csv_v1
# game_name=Lawnmower Man, The (USA, Europe) (Action Replay)
# match_names=lawnmowerman|lawnmowermangenesis|lawnmowermanthe
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
life_lost_lives_ff3591,0xFF3591,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_ff3591,0xFF3591,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score_ff35e6,0xFF35E6,4,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
