# schema=qrd_rumble_csv_v1
# game_name=Thunder Fox (USA, Japan) (Action Replay)
# match_names=thunderfox|thunderfoxgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_ffb00d,0xFFB00D,1,bcd,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_ffb00d,0xFFB00D,1,bcd,became_zero,,both,1.000,heartbeat,0,600,400,90,
life_lost_lives_ffb00b,0xFFB00B,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_ffb00b,0xFFB00B,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score_ffa000,0xFFA000,4,bcd,prev_lt_curr,,right,0.350,burst,0,70,15,10,
