# schema=qrd_rumble_csv_v1
# game_name=Justice League Task Force (World) (Action Replay)
# match_names=justiceleaguetaskforce|justiceleaguetaskforcegenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
enemy_defeated_enemy_health_ff13fb,0xFF13FB,1,uint,prev_gt_curr,,right,0.450,normal,0,35,75,30,
damage_taken_health_ff11a1,0xFF11A1,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_ff11a1,0xFF11A1,1,uint,became_zero,,both,1.000,normal,0,600,400,90,
