# schema=qrd_rumble_csv_v1
# game_name=Pit-Fighter (World) (Action Replay)
# match_names=pitfighter|pitfightergenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
enemy_defeated_enemy_health_ff2d1b,0xFF2D1B,1,uint,prev_gt_curr,,right,0.450,normal,0,35,75,30,
damage_taken_health_ff2b7e,0xFF2B7E,2,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_ff2b7e,0xFF2B7E,2,uint,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_ff2c33,0xFF2C33,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_ff2c33,0xFF2C33,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_ff2b98,0xFF2B98,4,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
