# schema=qrd_rumble_csv_v1
# game_name=Tinhead (USA) (Ballistic) (April, 1994)
# match_names=tinhead|tinheadgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
game_over_gameover_ff53f8,0xFF53F8,1,int,became_nonzero,,both,1.000,normal,0,1000,400,100,
damage_taken_health_ff4645,0xFF4645,1,int,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_ff4645,0xFF4645,1,int,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_ff4643,0xFF4643,1,int,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_ff4643,0xFF4643,1,int,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_ff4632,0xFF4632,8,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
