# schema=qrd_rumble_csv_v1
# game_name=Socket (USA) (Action Replay)
# match_names=socket|socketgenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_fffd19,0xFFFD19,1,int,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_fffd19,0xFFFD19,1,int,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_fffd17,0xFFFD17,1,uint,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_fffd17,0xFFFD17,1,uint,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score_fffd13,0xFFFD13,3,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
